"method","coverage","length","KS_lo","KS_up","type","exprid"
"FairBoosting",0.9966,1.08030126643391,0.031981048775498,0.0324005027273938,"Inexact",1
"FairBoosting",0.9878,0.904068054845265,0.0195318735842951,0.018237514831194,"Inexact",1
"FairBoosting",0.9924,1.00450981759336,0.0318933631097774,0.0222765021983391,"Inexact",1
"FairBoosting",0.996,1.15956230987723,0.0187124113526816,0.0205143087364112,"Inexact",1
"FairBoosting",0.9942,0.998977230520411,0.0207991268998037,0.0186357601750491,"Inexact",1
"FairBoosting",0.996,1.08621190037454,0.0228153335494341,0.0191584980753635,"Inexact",1
"FairBoosting",0.9936,0.979373977347564,0.0298350446921722,0.0278841713244672,"Inexact",1
"FairBoosting",0.989,0.963183166677795,0.0210323798121937,0.0231228055068971,"Inexact",1
"FairBoosting",0.9954,1.04681117047367,0.0211509698923972,0.0272069576724521,"Inexact",1
"FairBoosting",0.9942,1.00983929518533,0.0276361360861119,0.0307710358553618,"Inexact",1
"FairBoosting",0.9948,1.02935001091673,0.0250965995710971,0.02617677876511,"Inexact",1
"FairBoosting",0.9902,0.956966972730473,0.0389584479911943,0.0288249862410567,"Inexact",1
"FairBoosting",0.9864,0.911192701836335,0.0238086269782977,0.0213358639917578,"Inexact",1
"FairBoosting",0.9972,1.14036304161789,0.0228585452611003,0.0224282845799219,"Inexact",1
"FairBoosting",0.9934,1.02635011371551,0.047514355644714,0.0376668386676637,"Inexact",1
"FairBoosting",0.9958,1.06989639284741,0.0151616826308606,0.0159284044271645,"Inexact",1
"FairBoosting",0.9964,1.06959258233492,0.0221866666666667,0.02176,"Inexact",1
"FairBoosting",0.9888,0.923443861729352,0.019394844637563,0.0229691853698915,"Inexact",1
"FairBoosting",0.9888,0.960948305680339,0.0390636629803815,0.0329304998342978,"Inexact",1
"FairBoosting",0.9944,0.989325596056264,0.0265810111995936,0.0249867599690921,"Inexact",1
"FairBoosting",0.9934,0.972087317473807,0.037709859012876,0.0247571980527488,"Inexact",1
"FairBoosting",0.9872,0.930656946106098,0.0154826447289179,0.0163590142315396,"Inexact",1
"FairBoosting",0.994,0.997789075500966,0.0371595336088131,0.0285899667059817,"Inexact",1
"FairBoosting",0.9848,0.894272214494727,0.0286097644228234,0.0291363372730325,"Inexact",1
"FairBoosting",0.9856,0.901329984133377,0.0271347277890285,0.037279266576599,"Inexact",1
"FairBoosting",0.9932,1.01200132369277,0.0228606809946415,0.0205603482037122,"Inexact",1
"FairBoosting",0.9948,1.01826882109928,0.0188402792176377,0.0270440251572327,"Inexact",1
