"method","coverage","length","KS_lo","KS_up","type","exprid"
"quantBoosting",0.3254,0.10784,0.145560860822272,0.0841737723328597,"Exact",2
"quantBoosting",0.3196,0.1082,0.0523408071501969,0.153857457195381,"Exact",2
"quantBoosting",0.3182,0.109,0.131028609707611,0.195581483018326,"Exact",2
"quantBoosting",0.3118,0.10648,0.125644423562036,0.223863635764394,"Exact",2
"quantBoosting",0.3032,0.08628,0.369568806906638,0.183757274198069,"Exact",2
"quantBoosting",0.3134,0.0896,0.065737292444344,0.203250492136677,"Exact",2
"quantBoosting",0.3286,0.11628,0.0601134441577967,0.0925629153781757,"Exact",2
"quantBoosting",0.325,0.10636,0.0503797775505569,0.139254372071783,"Exact",2
"quantBoosting",0.321,0.10972,0.0788519105476316,0.257467176890469,"Exact",2
"quantBoosting",0.3266,0.10612,0.15695350100916,0.058043338434582,"Exact",2
"quantBoosting",0.3282,0.10036,0.114026929316811,0.111783136575689,"Exact",2
"quantBoosting",0.32,0.10484,0.0744773982944323,0.0677960853447889,"Exact",2
"quantBoosting",0.329,0.1098,0.117337636568993,0.301049815595437,"Exact",2
"quantBoosting",0.3168,0.10692,0.09540544332211,0.18219696969697,"Exact",2
"quantBoosting",0.3164,0.1076,0.11845536582114,0.0449902906853443,"Exact",2
"quantBoosting",0.3142,0.09828,0.0856440117833426,0.067334231744523,"Exact",2
"quantBoosting",0.317,0.09692,0.0475769340801391,0.0777600535545759,"Exact",2
"quantBoosting",0.313,0.10568,0.181412704152239,0.0703040789917306,"Exact",2
"quantBoosting",0.3086,0.09408,0.0788437092057484,0.053182273358647,"Exact",2
"quantBoosting",0.3186,0.09816,0.131715847962278,0.0981974852234742,"Exact",2
"quantBoosting",0.3168,0.10832,0.187421235951356,0.0533632518178773,"Exact",2
"quantBoosting",0.3114,0.0948,0.039163038219642,0.0701534314741862,"Exact",2
"quantBoosting",0.3222,0.1066,0.203563234536686,0.231893937516009,"Exact",2
"quantBoosting",0.3132,0.10128,0.249666710027056,0.0503228284188118,"Exact",2
"quantBoosting",0.3194,0.10356,0.102216118908974,0.106444130475926,"Exact",2
"quantBoosting",0.3172,0.10968,0.0569776556966055,0.0672269514163033,"Exact",2
"quantBoosting",0.322,0.10924,0.150264323944898,0.119897231727648,"Exact",2
"quantBoosting",0.3238,0.11344,0.0893884670414642,0.288704756885621,"Exact",2
"quantBoosting",0.3248,0.10956,0.445408666061799,0.121228923082409,"Exact",2
"quantBoosting",0.3252,0.11028,0.137544914497673,0.134257659538024,"Exact",2
"quantBoosting",0.3216,0.1128,0.177152845871252,0.134681856065374,"Exact",2
"quantBoosting",0.3226,0.10536,0.0776330533734246,0.0690387307472604,"Exact",2
"quantBoosting",0.3118,0.08816,0.0856157168758497,0.076924579161006,"Exact",2
"quantBoosting",0.3092,0.10584,0.0643783151852261,0.0839747240924382,"Exact",2
"quantBoosting",0.3252,0.11136,0.137129184213563,0.0468701411195663,"Exact",2
"quantBoosting",0.3148,0.1046,0.102660861151427,0.427904485451655,"Exact",2
"quantBoosting",0.3216,0.10612,0.0690481977436209,0.123503888056451,"Exact",2
"quantBoosting",0.3174,0.106,0.0450667423300483,0.0594166761332346,"Exact",2
"quantBoosting",0.3086,0.09464,0.0416042831627247,0.074495201767929,"Exact",2
"quantBoosting",0.3158,0.10864,0.20658222910761,0.127068363108972,"Exact",2
"quantBoosting",0.3178,0.09784,0.203679934206649,0.183355627349453,"Exact",2
"quantBoosting",0.313,0.09352,0.0499536952986234,0.101248851035932,"Exact",2
"quantBoosting",0.3102,0.09512,0.18428235542867,0.111021860752512,"Exact",2
"quantBoosting",0.3202,0.1116,0.200698119801352,0.0490421783286746,"Exact",2
"quantBoosting",0.3132,0.0952,0.132285986371408,0.0637787096473197,"Exact",2
"quantBoosting",0.3064,0.0962,0.0646388123222332,0.0597332788756432,"Exact",2
"quantBoosting",0.323,0.1094,0.0506597222222222,0.0389930555555556,"Exact",2
"quantBoosting",0.318,0.10628,0.233249190398481,0.156425706245285,"Exact",2
"quantBoosting",0.3128,0.09612,0.213713370658758,0.109176607973168,"Exact",2
