"method","coverage","length","KS_lo","KS_up","type","exprid"
"FairBoosting",0.9998,1.9933157781616,0.0225844657209761,0.0180921224209624,"Naive",3
"FairBoosting",1,1.85018206167497,0.0239301076609027,0.0256612129924302,"Naive",3
"FairBoosting",0.9998,1.70181905753976,0.0254844540413809,0.0353275145724371,"Naive",3
"FairBoosting",1,1.84779686862324,0.0287401147405752,0.0298505966247159,"Naive",3
"FairBoosting",1,1.75021982699149,0.0245441642100666,0.0200414892455508,"Naive",3
"FairBoosting",1,1.82843921469641,0.0278080920331039,0.0222147031777849,"Naive",3
"FairBoosting",1,2.09772035446638,0.0275324703927694,0.0386616368615613,"Naive",3
"FairBoosting",0.9998,1.78181564155779,0.0193413504734259,0.025388762181215,"Naive",3
"FairBoosting",1,1.92122628016162,0.0226429674500615,0.0230701835781881,"Naive",3
"FairBoosting",1,2.05293018134663,0.0206268881709874,0.0189154256852182,"Naive",3
"FairBoosting",0.9998,1.68304883053879,0.0235377373110458,0.0291651710679259,"Naive",3
"FairBoosting",1,1.97771040885235,0.0133456715781972,0.0163816570269792,"Naive",3
"FairBoosting",0.9996,1.68397163007908,0.0252846659009893,0.0163493400059115,"Naive",3
"FairBoosting",0.9998,1.88211436535154,0.019855038825738,0.0310972291327753,"Naive",3
"FairBoosting",1,1.68368410936617,0.0286246278508577,0.023018348403875,"Naive",3
"FairBoosting",1,1.97510399952755,0.0193511640340951,0.0244855514914026,"Naive",3
"FairBoosting",1,1.87826109578819,0.0217833273460107,0.0183067897268871,"Naive",3
"FairBoosting",1,1.88925281490978,0.032451455535527,0.020037140330661,"Naive",3
"FairBoosting",1,1.96276320267985,0.0206457186950395,0.0217547330496191,"Naive",3
"FairBoosting",1,1.92066046174295,0.0439207747239522,0.0406756134911474,"Naive",3
"FairBoosting",0.9994,1.63544469379898,0.0258950350909812,0.0228015063174867,"Naive",3
"FairBoosting",1,2.01463167243954,0.0296232838734003,0.0333688202807905,"Naive",3
"FairBoosting",1,1.83185578957674,0.0304719753507565,0.0197203581785144,"Naive",3
"FairBoosting",0.9998,1.70202680772106,0.0207648715713232,0.0242578186126573,"Naive",3
"FairBoosting",1,1.87228686508131,0.0215855998052933,0.020298311128748,"Naive",3
"FairBoosting",1,2.09350948059915,0.0252061069655105,0.0191385287058861,"Naive",3
"FairBoosting",1,1.92579380578535,0.0241095763455797,0.0248879962361963,"Naive",3
"FairBoosting",1,1.77554236325829,0.0184567647440267,0.019930270611836,"Naive",3
"FairBoosting",1,1.82262502668279,0.0288790046727401,0.0217048447500807,"Naive",3
"FairBoosting",1,1.89392349876238,0.0213655484845216,0.0252486247438248,"Naive",3
"FairBoosting",1,1.89192809017813,0.0341023262107521,0.0285215771505932,"Naive",3
"FairBoosting",1,1.81681758624893,0.0278618609677562,0.0226969476423624,"Naive",3
"FairBoosting",1,1.91727395111034,0.0227448411398624,0.0258019434436074,"Naive",3
"FairBoosting",1,1.83813549094277,0.0164114631667329,0.013730997834637,"Naive",3
"FairBoosting",1,1.99414032837661,0.0224334220642022,0.0268969007390095,"Naive",3
"FairBoosting",1,1.74747207000391,0.0158295667082294,0.0109074412183826,"Naive",3
"FairBoosting",1,1.9513120168302,0.026796714650319,0.0302672522157647,"Naive",3
"FairBoosting",1,1.78077292102513,0.0322469631129607,0.0405023830231406,"Naive",3
"FairBoosting",0.9998,1.80456708133194,0.0302666377935651,0.0237857440731363,"Naive",3
"FairBoosting",1,1.84773881742069,0.0191822152693554,0.0152216469002303,"Naive",3
"FairBoosting",1,1.81995736459636,0.0237152777777778,0.0263194444444445,"Naive",3
"FairBoosting",1,1.93053651301908,0.0310048747337193,0.0284877870277193,"Naive",3
"FairBoosting",1,1.88660007434528,0.0170288866723722,0.0204994242378179,"Naive",3
"FairBoosting",1,1.80795050869574,0.0371458132609267,0.0348438731715862,"Naive",3
"FairBoosting",1,1.82815632844769,0.0228563737446986,0.0239441184872657,"Naive",3
"FairBoosting",1,1.7611006623684,0.0269667902427241,0.0205332179064675,"Naive",3
"FairBoosting",1,1.82067891834025,0.0228492787023885,0.0311907575339533,"Naive",3
"FairBoosting",1,1.95540029009921,0.0249220487624207,0.0306734373676379,"Naive",3
"FairBoosting",1,1.70445372715902,0.0224707540845928,0.0414684794216595,"Naive",3
"FairBoosting",1,1.89361653203654,0.0171088824725359,0.0239428678819771,"Naive",3
"FairBoosting",1,2.05426817737126,0.0129612169732258,0.0210373384500022,"Naive",3
"FairBoosting",1,2.00697977977085,0.0257738197583181,0.0258342497392767,"Naive",3
"FairBoosting",1,2.06834583551356,0.01812627379747,0.0184452392023257,"Naive",3
"FairBoosting",0.9998,1.63269683316206,0.0332349281902558,0.0262598676082347,"Naive",3
"FairBoosting",1,1.89501271427869,0.021096869910537,0.0228398366909845,"Naive",3
"FairBoosting",1,1.74999522343964,0.0250085819471462,0.0330900011579633,"Naive",3
"FairBoosting",1,1.99431902566517,0.0396889877244757,0.0358201625628748,"Naive",3
"FairBoosting",1,1.83462226078702,0.0220641162292956,0.0266739082156277,"Naive",3
"FairBoosting",1,1.98731077625598,0.0130284655303539,0.0177613330233162,"Naive",3
"FairBoosting",0.9998,1.86060733822715,0.0167643814557094,0.0163285308994508,"Naive",3
"FairBoosting",1,2.05453924871906,0.0238825152478333,0.0213175550662751,"Naive",3
"FairBoosting",1,1.90976056502734,0.0184551696784909,0.0171324183557395,"Naive",3
"FairBoosting",1,1.82652637092676,0.0355276428622851,0.0261244077328303,"Naive",3
"FairBoosting",1,1.72917604134371,0.0145968471878963,0.0145968471878963,"Naive",3
"FairBoosting",0.9998,1.73970337048619,0.0169652031996132,0.0221760732134185,"Naive",3
"FairBoosting",1,1.96230720426375,0.0233695652173913,0.0198335167859108,"Naive",3
"FairBoosting",1,1.73888146593875,0.0197376063841047,0.0244783906736006,"Naive",3
"FairBoosting",1,1.95715076033107,0.0345585547955934,0.0293374406098262,"Naive",3
"FairBoosting",1,1.74865790058096,0.0276078841158092,0.0362926674721514,"Naive",3
"FairBoosting",1,1.84265138407665,0.0192865042577702,0.0222718991939604,"Naive",3
"FairBoosting",1,1.85879215098912,0.0340841373954823,0.0245675851696818,"Naive",3
"FairBoosting",1,1.84752437596927,0.0477397190410381,0.0305845068241714,"Naive",3
"FairBoosting",1,1.81018267479477,0.0191443776349436,0.0243278733844771,"Naive",3
"FairBoosting",1,1.94085929284044,0.0216802364639307,0.0212483798900631,"Naive",3
"FairBoosting",1,2.064858039705,0.0224847211864667,0.0358046463680173,"Naive",3
"FairBoosting",1,1.95802051242637,0.0228061239631149,0.0288360867425709,"Naive",3
"FairBoosting",1,1.74102805329612,0.0281301871177048,0.0190988286930214,"Naive",3
"FairBoosting",1,1.8612774112553,0.0352350486168458,0.0270562409460335,"Naive",3
"FairBoosting",1,1.99764668230333,0.0326494425861981,0.0202000792981512,"Naive",3
"FairBoosting",1,1.92014941684451,0.0334999343084874,0.0411981584479286,"Naive",3
"FairBoosting",1,1.79485248982595,0.0253559062238102,0.0312472431740989,"Naive",3
"FairBoosting",1,1.8051373841196,0.0310272999425973,0.0276109027631726,"Naive",3
"FairBoosting",0.9998,1.84541010137518,0.0437446166021404,0.0389203557789357,"Naive",3
"FairBoosting",1,1.79243011907882,0.0238625549005495,0.0320584025203167,"Naive",3
"FairBoosting",1,2.03988498093086,0.0256468259191015,0.020505670351847,"Naive",3
"FairBoosting",1,2.09602111114918,0.0263374824327931,0.0248164527517891,"Naive",3
"FairBoosting",0.9994,1.74184994183151,0.0422584621756576,0.0237990614382088,"Naive",3
"FairBoosting",1,1.98204949038529,0.0160409787156925,0.01951025664017,"Naive",3
"FairBoosting",1,1.91077952147456,0.0167453474308454,0.0241079595455157,"Naive",3
"FairBoosting",0.9998,1.73785152404065,0.017741917746454,0.0289996123487542,"Naive",3
"FairBoosting",0.9998,1.83515853653246,0.0176085474888956,0.0137272771025229,"Naive",3
"FairBoosting",1,1.86849346131439,0.0262935550025715,0.0300427462332743,"Naive",3
"FairBoosting",0.9998,1.80356212950962,0.0285370478325048,0.0269223255655968,"Naive",3
"FairBoosting",1,1.86110982259486,0.0263753536677613,0.0353718349532727,"Naive",3
"FairBoosting",1,1.8119596130501,0.0230166489902337,0.0178380065402802,"Naive",3
"FairBoosting",0.9996,1.75517951409951,0.0223011340937498,0.0148231882326049,"Naive",3
"FairBoosting",1,1.72007289428194,0.0178104152660702,0.0246056782334385,"Naive",3
"FairBoosting",0.9998,1.66647869831795,0.0266283383433443,0.0301133904901999,"Naive",3
"FairBoosting",1,1.83384076015438,0.0218247684242129,0.0304124635624095,"Naive",3
"FairBoosting",0.9998,1.85273113777033,0.030352669857462,0.021909701563635,"Naive",3
"FairBART",0.9998,1.72909438391337,0.020563660023286,0.0210225327032395,"Naive",3
"FairBART",0.9998,1.85750771917244,0.0269846109696165,0.0190065700701709,"Naive",3
"FairBART",0.999,1.64440790713203,0.0280375911665071,0.0172749533865919,"Naive",3
"FairBART",1,1.9727119386037,0.0129337457186363,0.0161932540712343,"Naive",3
"FairBART",1,1.75100046833278,0.0171828273275586,0.0206368702502593,"Naive",3
"FairBART",1,1.692626814964,0.0239371642902884,0.0252440634107453,"Naive",3
"FairBART",1,1.85238653624586,0.0236543422124496,0.0211613515857345,"Naive",3
"FairBART",1,1.88674989691757,0.0261389980639317,0.0224254309067392,"Naive",3
"FairBART",1,1.87734420747615,0.035362370892654,0.0263144515608006,"Naive",3
"FairBART",0.9998,1.91025641622959,0.0224480177587399,0.0213604064877407,"Naive",3
"FairBART",1,1.88500140357547,0.0275262598541438,0.0285987115367728,"Naive",3
"FairBART",1,1.80147381575001,0.0175333703654645,0.0166274618208675,"Naive",3
"FairBART",1,1.84172848482641,0.0249009115308234,0.0306190986619248,"Naive",3
"FairBART",1,1.98720528890243,0.0232960850637931,0.0195753656197308,"Naive",3
"FairBART",1,1.87800251482634,0.0159705685138838,0.0176951774415634,"Naive",3
"FairBART",1,1.89992314165004,0.03177714912364,0.0237836252536904,"Naive",3
"FairBART",0.9998,1.78507119560119,0.0354150895083719,0.0399753963306021,"Naive",3
"FairBART",0.9998,1.98419353670336,0.0306063573765762,0.0487231621105491,"Naive",3
"FairBART",1,1.75679103953465,0.0287492308244182,0.0416837977820149,"Naive",3
"FairBART",1,1.83423877695883,0.038416734532121,0.0379815038984695,"Naive",3
"FairBART",1,1.73238142071842,0.0335244963940181,0.0371965211921619,"Naive",3
"FairBART",1,1.88436772274791,0.0196453004035401,0.024945011170959,"Naive",3
"FairBART",1,1.91115315878246,0.0365466582496342,0.0342184876971791,"Naive",3
"FairBART",0.9998,1.77360279638828,0.0176736111111111,0.0278472222222222,"Naive",3
"FairBART",1,1.76908653404371,0.026695498220662,0.020942055573527,"Naive",3
"FairBART",1,1.88753537317504,0.0288228636224941,0.0374642415508118,"Naive",3
"FairBART",1,1.8327995047715,0.0205774687583961,0.0137001869911382,"Naive",3
"FairBART",1,1.88710072696386,0.0380882818422046,0.0267784281350023,"Naive",3
"FairBART",0.9998,1.76834818298326,0.0258464236241865,0.0365786333552614,"Naive",3
"FairBART",0.9998,1.79122081424935,0.0116421520814638,0.0120756549144048,"Naive",3
"FairBART",1,1.90283410322203,0.01903725205612,0.0138537563065865,"Naive",3
"FairBART",1,1.86718891417623,0.0285955544371431,0.0368163479912103,"Naive",3
"FairBART",1,1.95415986823973,0.0195747350262033,0.0243666984678786,"Naive",3
"FairBART",0.9998,1.70348739521757,0.0216103422804155,0.028148100624295,"Naive",3
"FairBART",1,1.7931456419495,0.0238809760454658,0.0195620668064854,"Naive",3
"FairBART",0.9998,1.81057829093187,0.0231752569361739,0.0205907326540514,"Naive",3
"FairBART",1,1.85913652940841,0.0188966631379296,0.0223426955140929,"Naive",3
"FairBART",1,1.88959096782481,0.0337859703838587,0.0272667208132011,"Naive",3
"FairBART",1,1.86551960990542,0.0221332796249555,0.034560484061039,"Naive",3
"FairBART",1,1.9592962185038,0.0157852463179803,0.0163444576819811,"Naive",3
"FairBART",1,1.82011768882322,0.0165856116712299,0.0167271038954481,"Naive",3
"FairBART",1,1.9411643288611,0.0277815910375311,0.0286526402197553,"Naive",3
"FairBART",1,1.66975302956093,0.0280179242372351,0.0275848377458783,"Naive",3
"FairBART",0.9996,1.88140234292085,0.0332219674636969,0.0248498744404411,"Naive",3
"FairBART",1,1.95079355969578,0.0285461000612727,0.0291118942807851,"Naive",3
"FairBART",1,1.94824668466509,0.0132286290856161,0.0166746614617794,"Naive",3
"FairBART",1,1.77028144316914,0.0260251119861615,0.0190744118888299,"Naive",3
"FairBART",0.9998,1.74935598170024,0.0283443055004191,0.0420071346654316,"Naive",3
"FairBART",0.9998,1.73072523961998,0.0309273617336311,0.0423197582115669,"Naive",3
"FairBART",0.9998,1.99965648845652,0.016923091753909,0.0240257361548356,"Naive",3
"FairBART",1,1.93457032556986,0.0199978427354115,0.0191478804875418,"Naive",3
"FairBART",1,1.89705908445224,0.0213506924678101,0.0165705569726968,"Naive",3
"FairBART",1,1.86642391445616,0.0267732394180087,0.0227691111495934,"Naive",3
"FairBART",1,2.00044699036689,0.038716831476056,0.0423436529935341,"Naive",3
"FairBART",0.9998,1.64697488610987,0.0295577144324665,0.0256691782002092,"Naive",3
"FairBART",1,1.90303953521683,0.0207104479919601,0.0202809666765447,"Naive",3
"FairBART",0.9986,1.49585597285802,0.0230657074928521,0.0251866316973962,"Naive",3
"FairBART",1,1.83365150204835,0.0226780149244205,0.0200763704075771,"Naive",3
"FairBART",0.9998,1.78014943685872,0.0233578135049776,0.0303571970829668,"Naive",3
"FairBART",1,1.95094798062107,0.0439531490114545,0.0347189758556417,"Naive",3
"FairBART",0.9998,1.74091799707074,0.0415893100837622,0.046675383418836,"Naive",3
"FairBART",1,1.7520866565093,0.0556227034216287,0.0599317241422351,"Naive",3
"FairBART",1,1.86712498814363,0.0404296681310564,0.0465499589144759,"Naive",3
"FairBART",1,1.82672450867315,0.0182211348244302,0.0110466134969725,"Naive",3
"FairBART",1,1.89507294686532,0.0247858851848998,0.0316134737374011,"Naive",3
"FairBART",0.9998,1.91228717990195,0.0344319148873389,0.0352678229714693,"Naive",3
"FairBART",0.9998,1.84239475616914,0.0198096746286603,0.0206824705571022,"Naive",3
