"method","coverage","length","KS_lo","KS_up","type","exprid"
"FairBoosting",1,2.15203573552458,0.0326404703512307,0.0233328041517036,"Exact",2
"FairBoosting",1,1.99963988997568,0.020436355822605,0.0214189296731574,"Exact",2
"FairBoosting",1,1.88519331643506,0.0170642020046301,0.0181075128931198,"Exact",2
"FairBoosting",1,1.97076346291129,0.0246313980904069,0.0267319608531172,"Exact",2
"FairBoosting",1,2.07012607530468,0.0464693220318195,0.0417287460491602,"Exact",2
"FairBoosting",1,1.73728355342568,0.0311779662781361,0.0412935456560501,"Exact",2
"FairBoosting",1,1.95137793062822,0.019796907876681,0.0176187426759195,"Exact",2
"FairBoosting",1,2.02762434084,0.0149612391450691,0.0197116614576126,"Exact",2
"FairBoosting",1,2.06118551610227,0.027347375049715,0.0282104821247072,"Exact",2
"FairBoosting",1,1.92046951405155,0.0331634523338214,0.022492998431062,"Exact",2
"FairBoosting",1,1.79981973142869,0.0237582850935616,0.026425956395233,"Exact",2
"FairBoosting",1,1.87630159307121,0.0154262819363081,0.013465746507322,"Exact",2
"FairBoosting",1,1.81086537164219,0.0456743559952797,0.0393341092964981,"Exact",2
"FairBoosting",1,1.90309657925641,0.0166220344690784,0.0144555631603512,"Exact",2
"FairBoosting",1,1.85995376927236,0.0201821202948144,0.0220205975256647,"Exact",2
"FairBoosting",1,2.06786983823358,0.0290985099360766,0.02742465570598,"Exact",2
"FairBoosting",1,1.91431524622298,0.0242854333950069,0.0203932608860285,"Exact",2
"FairBoosting",1,1.87246581215178,0.0254051092466738,0.0307816616120249,"Exact",2
"FairBoosting",1,1.95911158636574,0.0175100333147453,0.0184338934181074,"Exact",2
"FairBoosting",1,1.82975020453984,0.0249609833307507,0.0242498284373409,"Exact",2
"FairBoosting",1,2.11805257113922,0.0280210944858884,0.0335286677822796,"Exact",2
"FairBoosting",1,1.90603537409747,0.0324206534034201,0.0334561514405482,"Exact",2
"FairBoosting",1,1.84247102131161,0.0288218162673799,0.0411114811765848,"Exact",2
"FairBoosting",1,1.91376085968218,0.0316357767754764,0.0420306382020223,"Exact",2
"FairBoosting",1,1.80248162498582,0.0231515636450836,0.0305797232914403,"Exact",2
"FairBoosting",1,1.69945978551208,0.038660767163089,0.0429961362284092,"Exact",2
"FairBoosting",1,1.99824808787887,0.0307702362803494,0.0266604489902414,"Exact",2
"FairBoosting",1,1.82116499272957,0.0231597222222222,0.0225,"Exact",2
"FairBoosting",1,1.92883863165248,0.0280571709282317,0.021421945710671,"Exact",2
"FairBoosting",1,2.05777652095341,0.0305881567861999,0.0244140815072473,"Exact",2
"FairBoosting",1,1.96539876930666,0.0291774615304351,0.0226232030189439,"Exact",2
"FairBoosting",1,1.99045224194624,0.0315360317946922,0.0228743321362879,"Exact",2
"FairBoosting",1,1.98706669751793,0.0173254593575209,0.0160432570605324,"Exact",2
"FairBoosting",1,2.14334035917298,0.0218456050204505,0.0313743399814819,"Exact",2
"FairBoosting",1,2.01126624819032,0.0175350569777308,0.0196814989239458,"Exact",2
"FairBoosting",1,1.9207607848477,0.0237856762585384,0.0319025695166027,"Exact",2
"FairBoosting",1,1.93690151398608,0.0173629981913222,0.0203680169160232,"Exact",2
"FairBoosting",1,2.01310983529451,0.0158333333333333,0.0168055555555555,"Exact",2
"FairBoosting",1,2.00724140764831,0.0209425745954636,0.0251740443715345,"Exact",2
"FairBoosting",1,1.7506374344717,0.0167208007424102,0.0217005833222856,"Exact",2
"FairBoosting",1,2.16278881052809,0.0279127383500106,0.018444841063269,"Exact",2
"FairBoosting",1,2.17998757736493,0.0214493386809635,0.0215075803125313,"Exact",2
"FairBoosting",1,1.99098456971547,0.0173604122234719,0.023643521469511,"Exact",2
"FairBoosting",1,1.86192619450185,0.0227590738664915,0.0232315033134483,"Exact",2
"FairBoosting",1,1.90595198659666,0.0197506551269711,0.0157110178313436,"Exact",2
"FairBoosting",1,1.81188328778941,0.0141742203696351,0.0227893013100436,"Exact",2
"FairBoosting",1,1.89770720384378,0.0186738031519476,0.0177992338773154,"Exact",2
"FairBoosting",1,1.93386004281073,0.0169662171332342,0.0234931766752252,"Exact",2
"FairBoosting",1,1.92127957533929,0.0320379327128611,0.0385815126853612,"Exact",2
"FairBoosting",1,1.84962751549102,0.0257721053581709,0.0256319271197303,"Exact",2
"FairBoosting",1,1.91383398188936,0.0164873944449854,0.0160610903936816,"Exact",2
"FairBoosting",1,1.99625568573193,0.0177537672897609,0.0186168743647532,"Exact",2
"FairBoosting",1,1.88123783258766,0.0204371882793018,0.0334835344674029,"Exact",2
"FairBoosting",1,1.8563193659233,0.0266965852238139,0.0228153148374413,"Exact",2
"FairBoosting",1,2.10131465887579,0.0287065097303402,0.0303695519935591,"Exact",2
"FairBoosting",1,2.04753771734553,0.0135456796917997,0.0118258117776555,"Exact",2
"FairBoosting",1,2.01984285231902,0.0158545927210004,0.0205853042767869,"Exact",2
"FairBoosting",1,1.97546822220126,0.0305443526351455,0.0255044046604149,"Exact",2
"FairBoosting",1,1.96843337966742,0.0320126466462764,0.0246993327788323,"Exact",2
"FairBoosting",1,1.84573171116814,0.0289979505986409,0.03760975083594,"Exact",2
"FairBoosting",1,2.10133328490086,0.023372994369804,0.0229457782416775,"Exact",2
"FairBoosting",1,1.96878775938279,0.0200409662254225,0.0339231164872052,"Exact",2
"FairBoosting",1,1.93043112976602,0.0175550743098464,0.0223190257147703,"Exact",2
"FairBoosting",1,1.9133373410744,0.0300715417553538,0.0318059714332494,"Exact",2
"FairBoosting",1,1.94220630447143,0.0237580922599291,0.0191817171741437,"Exact",2
"FairBoosting",1,1.95924641907029,0.0266000515827824,0.043022184053729,"Exact",2
"FairBoosting",1,2.20199281482088,0.0417487011246544,0.0519754206157674,"Exact",2
"FairBoosting",1,1.98084978529253,0.0271650427494583,0.0229355060523892,"Exact",2
"FairBoosting",1,1.94554948567116,0.0211282947912311,0.0362935939523214,"Exact",2
"FairBoosting",1,1.88451231153366,0.0363551485980416,0.0217560668631073,"Exact",2
"FairBoosting",1,1.89280901424535,0.0225153722285577,0.0257164980579478,"Exact",2
"FairBoosting",1,1.96225724890471,0.0329143634289725,0.0240770597525665,"Exact",2
"FairBoosting",1,1.91642517291602,0.0376239510937319,0.0436076991212403,"Exact",2
"FairBoosting",1,1.88237476379255,0.0276724455292891,0.026223665467363,"Exact",2
"FairBoosting",1,1.91723058002561,0.0151801525896994,0.0179591939063029,"Exact",2
"FairBoosting",1,1.88106785919467,0.0175338828137864,0.019287514269099,"Exact",2
"FairBoosting",1,1.93824531952931,0.0252214104926574,0.0310344977804497,"Exact",2
"FairBoosting",0.9998,1.78335957811977,0.0322879817624555,0.0456690725705154,"Exact",2
"FairBoosting",1,2.11978363413667,0.0210041057855757,0.0297712589488388,"Exact",2
"FairBoosting",1,1.92057413827996,0.0235302944447223,0.0235302944447223,"Exact",2
"FairBoosting",1,1.88906590518296,0.0297182147248827,0.0314501463482222,"Exact",2
"FairBoosting",1,2.01355427452176,0.0168377205952301,0.0164076559083405,"Exact",2
