"method","coverage","length","KS_lo","KS_up","type","exprid"
"quantBoosting",0.3112,0.08968,0.185080586998277,0.0203519008151527,"Naive",3
"quantBoosting",0.3128,0.10284,0.146828248063703,0.0523366797303134,"Naive",3
"quantBoosting",0.3152,0.10104,0.486322482548898,0.218052387863709,"Naive",3
"quantBoosting",0.3096,0.0934,0.170769356595254,0.230599498086617,"Naive",3
"quantBoosting",0.3136,0.10824,0.031729534351044,0.0259781708106541,"Naive",3
"quantBoosting",0.321,0.10508,0.0263399335564602,0.0484144576774021,"Naive",3
"quantBoosting",0.3114,0.09728,0.101661100404202,0.0525872581252078,"Naive",3
"quantBoosting",0.3088,0.09168,0.0683617671496306,0.019651218029649,"Naive",3
"quantBoosting",0.3184,0.0996,0.208365737670096,0.131818674435038,"Naive",3
"quantBoosting",0.313,0.09868,0.22127070722439,0.0969870819246478,"Naive",3
"quantBoosting",0.3148,0.0984,0.0165957149835997,0.261570940051643,"Naive",3
"quantBoosting",0.3208,0.11076,0.0803904993519132,0.063622609773755,"Naive",3
"quantBoosting",0.328,0.12192,0.324746634774105,0.106310270055528,"Naive",3
"quantBoosting",0.3166,0.09728,0.0738677716024878,0.156201755546734,"Naive",3
"quantBoosting",0.3242,0.10976,0.194965277777778,0.104479166666667,"Naive",3
"quantBoosting",0.3172,0.1102,0.183585871645033,0.423445553429522,"Naive",3
"quantBoosting",0.3214,0.1062,0.0178529534701062,0.0896810144272939,"Naive",3
"quantBoosting",0.3242,0.1002,0.149711497409005,0.133081567386595,"Naive",3
"quantBoosting",0.3118,0.1054,0.210412964780056,0.143077821131007,"Naive",3
"quantBoosting",0.3118,0.0942,0.206554807278831,0.0876159827481957,"Naive",3
"quantBoosting",0.3198,0.107,0.0941925321633036,0.559915361922319,"Naive",3
"quantBoosting",0.3146,0.1056,0.21060385993161,0.157952081469824,"Naive",3
"quantBoosting",0.323,0.10496,0.240278949521868,0.13058611573343,"Naive",3
"quantBoosting",0.3286,0.10596,0.15758455738783,0.166231870544099,"Naive",3
"quantBoosting",0.326,0.09944,0.278060857958533,0.172967080562977,"Naive",3
"quantBoosting",0.316,0.10512,0.346481825691332,0.0769884921110589,"Naive",3
"quantBoosting",0.3194,0.09996,0.322612392745253,0.285563194803336,"Naive",3
"quantBoosting",0.3294,0.11328,0.160473013738774,0.0616727861957215,"Naive",3
"quantBoosting",0.3146,0.10212,0.179510861197841,0.123594988773985,"Naive",3
"quantBoosting",0.3244,0.10996,0.0357566487995746,0.0286509685253484,"Naive",3
"quantBoosting",0.3296,0.10652,0.0874524846222959,0.112105190407077,"Naive",3
"quantBoosting",0.3172,0.10764,0.133164056335687,0.0987967733310942,"Naive",3
"quantBoosting",0.3232,0.10816,0.154599223827871,0.321928255618611,"Naive",3
"quantBoosting",0.3112,0.0928,0.119953685354422,0.180441845320373,"Naive",3
"quantBART",0.3238,0.10356,0.074455506469353,0.0714167455387816,"Naive",3
"quantBART",0.3168,0.10104,0.139056279444254,0.153235489955174,"Naive",3
"quantBART",0.325,0.09824,0.069044163383786,0.112620084318197,"Naive",3
"quantBART",0.327,0.11124,0.0771120940615506,0.0973562434982244,"Naive",3
"quantBART",0.3136,0.10396,0.0512011347363865,0.0214990940062295,"Naive",3
"quantBART",0.321,0.10136,0.0347935646443109,0.0201801036886175,"Naive",3
"quantBART",0.3162,0.1024,0.0437742028975989,0.0588492801628138,"Naive",3
"quantBART",0.3192,0.107,0.157508994142657,0.132433953640493,"Naive",3
"quantBART",0.3146,0.0924,0.0735845585293071,0.0493398854577225,"Naive",3
"quantBART",0.3248,0.10832,0.110609490182188,0.135970325194253,"Naive",3
"quantBART",0.3312,0.11784,0.139473263042872,0.176744821344312,"Naive",3
"quantBART",0.3126,0.10508,0.317922026182576,0.364333553425215,"Naive",3
"quantBART",0.3288,0.11952,0.306886160813787,0.291175726303705,"Naive",3
"quantBART",0.323,0.11504,0.100242463304406,0.0951047663291292,"Naive",3
"quantBART",0.3134,0.0962,0.0730249822034658,0.0944568656773423,"Naive",3
"quantBART",0.3122,0.09288,0.198454701447934,0.204967237632516,"Naive",3
"quantBART",0.3146,0.09332,0.285920263762124,0.224520549926943,"Naive",3
"quantBART",0.3208,0.10912,0.223465694713525,0.227734913296449,"Naive",3
"quantBART",0.3156,0.10668,0.0769487808698377,0.177580535686316,"Naive",3
"quantBART",0.3172,0.10608,0.227436496446433,0.18536950513293,"Naive",3
"quantBART",0.3176,0.10972,0.0697383165592881,0.051595014690205,"Naive",3
"quantBART",0.3214,0.11408,0.04549601372102,0.0752756417497967,"Naive",3
"quantBART",0.3194,0.09712,0.153274307932024,0.126150846236472,"Naive",3
"quantBART",0.3094,0.09028,0.137330346618078,0.0945060696282177,"Naive",3
"quantBART",0.323,0.10552,0.271334691102375,0.263900896985432,"Naive",3
"quantBART",0.3292,0.1078,0.181774673897494,0.184359217787488,"Naive",3
"quantBART",0.3242,0.11728,0.11312011655186,0.077618608412895,"Naive",3
